"sample_id","tube_id","donor_site_id","recipient_site_id","sample_type","sampling_timepoint","source_material","collection_date","collection_time","collector","sample_mass_g","sample_volume_mL","dna_extraction_id","extraction_date","extraction_batch","dna_concentration_ng_uL","storage_location","storage_temperature_C","sequencing_status","protocol_deviation","notes"
"T0046_FIN","T0046","VA_D01","NH_R01","final","harvest","rhizoplane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0047_DON","T0047","VA_D01","NH_R01","donor","transplant","seed_swab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0047_RES","T0047","VA_D01","NH_R01","recipient","transplant","sediment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0047_FIN","T0047","VA_D01","NH_R01","final","harvest","rhizoplane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0048_DON","T0048","VA_D01","NH_R01","donor","transplant","seed_swab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0048_RES","T0048","VA_D01","NH_R01","recipient","transplant","sediment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0048_FIN","T0048","VA_D01","NH_R01","final","harvest","rhizoplane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0049_DON","T0049","VA_D01","NH_R01","donor","transplant","seed_swab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0049_RES","T0049","VA_D01","NH_R01","recipient","transplant","sediment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0049_FIN","T0049","VA_D01","NH_R01","final","harvest","rhizoplane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0050_DON","T0050","VA_D01","NH_R01","donor","transplant","seed_swab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0050_RES","T0050","VA_D01","NH_R01","recipient","transplant","sediment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
